"","alicia","bat2","bat3","bat4","bat5","bat6","bat7","bella","betty","black-panther","c","cat","cc","ccc","ccs","cerce","cerceson","cindy","cs","d","dcd","dd","ddld","eve","falcon","flapper","fran","gayle","gremlin","hera","hilga","hulk","jenna-bat","jupiter","kelly","ldc","lds","lsd","mabel","marce","no-band","ola","opal","piper","queen","r","rc","rina","s","sam6","sc","scc","scs","sd","shania","sheldon","six","snow","son-of-ola","speedster","ss","sss","streblick","vampison","vixen","zaria","zelda"
"alicia",0,7,6,13,50,12,1,0,159,0,1,9,0,7,0,0,22,245,0,0,0,16,101,0,0,4,0,105,0,51,6,1,3,2,11,1,112,0,1,13,1,1,11,271,136,24,0,0,9,1,0,0,5,7,57,0,1,5,67,1,0,38,1,8,0,0,98
"bat2",0,954,9,2,7,1,2,0,1082,3,0,1,0,0,0,0,0,143,0,0,1,14,220,0,0,8,0,0,0,11,1,1,0,250,22,0,81,0,6,22,0,7,7,314,44,1,0,1,53,0,0,0,297,6,7,1,1,2,173,28,1,173,54,7,0,1,2
"bat3",0,6,286,228,5,17,2,0,109,13,1,2,0,1,0,4,199,37,0,0,0,33,98,0,0,1,0,2,1,18,13,3,9,103,6,0,30,0,0,32,0,0,0,50,11,4,1,2,105,10,0,0,12,3,10,0,1,24,295,1,1,14,73,23,3,1,3
"bat4",0,7,131,1440,75,3,101,0,66,0,27,3,0,10,0,2,1,37,2,0,2,174,463,0,0,10,0,103,0,11,53,8,14,0,10,2,156,0,0,36,0,12,0,857,30,19,2,0,120,4,0,0,5,27,50,0,6,18,406,1,1,18,122,11,0,0,8
"bat5",0,95,10,254,1046,0,94,9,877,2,16,109,2,3,2,1,3,122,4,1,2,559,1261,0,0,139,4,288,0,119,140,9,5,5,70,3,614,0,5,11,0,78,73,2903,112,141,3,4,130,79,0,0,235,9,245,0,14,74,449,93,0,367,46,108,0,0,42
"bat6",0,4,69,96,19,124,6,0,124,9,2,4,0,3,0,0,192,69,2,1,0,9,149,0,0,0,0,40,0,23,11,2,9,54,2,2,120,0,0,4,0,7,4,102,24,18,1,1,34,1,0,0,54,6,19,0,0,3,153,5,0,16,3,3,2,0,39
"bat7",2,33,12,31,107,7,1154,0,217,1,30,29,0,3,0,1,7,204,0,0,3,63,268,0,0,21,0,236,1,10,53,1,0,20,12,1,51,0,0,12,0,58,0,824,70,39,0,2,84,2,0,0,117,8,8,0,4,34,288,6,0,117,40,74,0,2,2
"bella",0,10,2,16,12,0,2,3,86,1,1,2,0,5,0,0,4,47,0,0,0,23,173,0,0,36,0,5,0,3,7,0,0,53,47,0,32,0,0,4,0,0,2,111,157,1,0,0,15,0,0,0,11,7,55,4,0,2,46,33,1,10,45,5,0,2,3
"betty",0,210,22,44,678,18,63,1,64205,50,3,99,120,64,1,0,89,3820,0,79,3,888,2168,2,1,28,3,147,3,326,114,123,12,1191,35,162,2920,0,475,38,1,492,141,731,869,101,10,1,386,84,2,1,2826,72,195,0,5,72,587,16,198,1063,114,240,65,0,86
"black-panther",0,11,42,48,9,14,0,0,870,168,0,1,8,1,2,1,3,40,0,7,0,97,199,0,0,3,0,0,0,8,5,1,14,81,3,3,34,0,1,17,0,0,3,96,20,5,6,0,133,1,0,0,32,10,20,0,0,2,134,1,0,39,22,26,0,0,38
"c",0,3,9,212,22,0,26,0,185,1,165,0,0,3,0,1,0,381,5,8,1,285,62,0,0,1,2,464,0,16,43,12,12,17,5,32,138,0,1,11,0,2,0,591,65,802,34,0,133,1,0,0,2,118,56,0,0,8,33,0,0,19,79,3,0,2,8
"cat",0,10,8,11,103,19,18,0,828,1,1,279,1,18,0,0,381,49,2,1,0,141,1900,0,0,28,0,21,0,440,57,6,3,26,5,4,383,0,2,2,0,67,32,219,61,7,0,7,9,8,0,0,83,96,136,0,5,27,248,45,11,110,31,110,0,0,48
"cc",0,0,5,1,7,2,2,0,1121,19,0,1,63,39,0,0,2,16,0,4,0,11,199,0,0,0,0,0,0,211,0,6,0,170,0,0,22,0,1,25,0,1,16,4,6,0,0,0,8,0,0,0,52,42,35,0,0,0,98,0,0,11,10,22,0,0,10
"ccc",0,12,6,2,1,0,5,0,442,3,1,3,12,489,0,0,0,46,0,0,0,38,303,0,0,0,0,1,0,190,3,1,1,10,0,2,230,0,0,17,0,90,0,4,3,11,0,0,48,0,0,0,3,80,3,1,25,0,162,1,0,8,13,9,0,0,0
"ccs",0,37,13,20,29,1,12,0,1759,26,5,9,5,21,5,1,0,108,1,4,1,92,479,0,0,2,3,13,0,60,41,3,2,231,2,13,195,0,4,9,0,30,3,156,19,46,0,0,585,1,0,0,174,49,10,0,3,9,288,0,1,176,24,38,0,0,14
"cerce",0,43,20,27,7,1,3,0,92,1,5,0,1,3,0,6,24,38,0,0,0,26,99,0,0,11,0,5,0,6,4,2,12,40,18,19,32,0,1,5,0,2,2,110,9,50,1,2,26,2,0,0,13,7,14,0,1,6,65,11,1,19,16,21,0,2,3
"cerceson",0,12,34,10,13,7,0,0,385,10,1,4,4,16,0,3,884,151,0,0,0,39,371,0,0,7,0,1,0,52,4,9,0,135,45,3,18,0,14,31,0,1,16,37,224,3,0,1,8,0,0,0,7,3,27,0,6,7,156,16,8,7,19,199,1,0,12
"cindy",0,184,41,18,130,2,19,1,12617,4,31,44,5,27,2,2,79,16741,0,4,0,67,752,1,0,24,11,2253,3,208,130,58,17,442,66,38,857,0,603,47,0,39,359,872,925,492,2,0,973,12,0,0,462,6,20,0,1,21,105,33,23,352,138,303,7,0,63
"cs",0,16,10,22,17,12,16,0,886,2,16,17,17,20,0,0,5,120,27,5,0,21,253,0,0,0,1,151,1,138,30,3,30,30,0,44,215,0,0,8,0,14,0,117,16,326,1,0,88,0,0,0,74,37,17,0,1,4,111,4,1,45,10,16,1,0,89
"d",0,26,17,133,59,0,46,0,3107,3,13,7,0,59,0,7,0,586,1,46,4,943,884,0,0,3,35,97,0,61,70,24,29,73,20,25,434,0,410,32,0,36,151,401,67,150,2,0,299,0,0,0,17,217,53,0,16,44,306,2,38,84,93,39,0,0,37
"dcd",0,30,3,41,69,0,17,0,685,4,30,18,1,35,0,0,7,172,4,5,9,359,358,0,0,40,12,101,0,56,54,19,13,69,6,3,251,0,19,5,0,63,17,174,40,77,3,2,166,1,0,0,41,141,9,0,16,48,241,15,4,64,82,45,0,1,7
"dd",0,0,8,156,213,0,13,0,745,1,35,34,0,6,0,1,0,49,0,20,2,3818,1440,0,0,5,1,34,0,6,27,10,16,15,4,0,301,0,0,6,0,120,1,305,27,63,4,0,327,1,0,0,5,112,47,0,7,40,248,1,0,42,81,14,0,1,11
"ddld",0,489,49,15,227,3,52,2,5419,10,38,448,1,64,2,0,251,783,0,36,3,807,22701,2,0,9,6,505,2,504,555,97,2,113,101,7,811,0,62,82,0,94,68,1053,260,43,0,10,230,123,0,0,110,219,155,5,9,110,751,52,35,863,380,529,2,0,11
"eve",0,51,11,2,2,0,5,0,167,2,0,2,0,2,0,0,4,30,0,0,0,3,84,0,0,1,0,9,0,3,7,0,0,38,0,0,64,0,1,0,0,10,0,31,4,1,0,0,21,0,0,0,41,0,0,0,3,1,228,1,1,34,2,12,0,0,0
