"","date","trial","donor","receiver","donation.sec","observation.sec"
"1","2010.12.06",1,"artimis","mya",0,7200
"2","2010.12.06",1,"barnabus","mya",0,7200
"3","2010.12.06",1,"bella","mya",1662,7200
"4","2010.12.06",1,"cerce","mya",0,7200
"5","2010.12.06",1,"countess","mya",0,7200
"6","2010.12.06",1,"desi","mya",0,7200
"7","2010.12.06",1,"edward","mya",0,7200
"8","2010.12.06",1,"fuschia","mya",0,7200
"9","2010.12.06",1,"gelfling","mya",0,7200
"10","2010.12.06",1,"gomez","mya",0,7200
"11","2010.12.06",1,"helsing","mya",0,7200
"12","2010.12.06",1,"lucy","mya",0,7200
"13","2010.12.06",1,"maribelo","mya",0,7200
"14","2010.12.06",1,"mina","mya",0,7200
"15","2010.12.06",1,"parmalee","mya",0,7200
"16","2010.12.06",1,"streblick","mya",0,7200
"17","2010.12.06",1,"tequila","mya",0,7200
"18","2010.12.06",1,"thecount","mya",0,7200
"19","2010.12.06",1,"vampirella","mya",0,7200
"20","2010.12.06",1,"veronica","mya",0,7200
"21","2010.12.06",1,"vlad","mya",0,7200
"22","2010.12.07",2,"artimis","thecount",0,7200
"23","2010.12.07",2,"barnabus","thecount",0,7200
"24","2010.12.07",2,"bella","thecount",16,7200
"25","2010.12.07",2,"cerce","thecount",0,7200
"26","2010.12.07",2,"countess","thecount",0,7200
"27","2010.12.07",2,"desi","thecount",0,7200
"28","2010.12.07",2,"edward","thecount",0,7200
"29","2010.12.07",2,"fuschia","thecount",0,7200
"30","2010.12.07",2,"gelfling","thecount",0,7200
"31","2010.12.07",2,"gomez","thecount",0,7200
"32","2010.12.07",2,"helsing","thecount",0,7200
"33","2010.12.07",2,"lucy","thecount",0,7200
"34","2010.12.07",2,"maribelo","thecount",0,7200
"35","2010.12.07",2,"mina","thecount",0,7200
"36","2010.12.07",2,"mya","thecount",0,7200
"37","2010.12.07",2,"parmalee","thecount",0,7200
"38","2010.12.07",2,"streblick","thecount",0,7200
"39","2010.12.07",2,"tequila","thecount",0,7200
"40","2010.12.07",2,"vampirella","thecount",0,7200
"41","2010.12.07",2,"veronica","thecount",174,7200
"42","2010.12.07",2,"vlad","thecount",0,7200
"43","2010.12.07",2,"artimis","thecount",0,7200
"44","2010.12.07",2,"barnabus","thecount",0,7200
"45","2010.12.07",2,"bella","thecount",16,7200
"46","2010.12.07",2,"cerce","thecount",0,7200
"47","2010.12.07",2,"countess","thecount",0,7200
"48","2010.12.07",2,"desi","thecount",0,7200
"49","2010.12.07",2,"edward","thecount",0,7200
"50","2010.12.07",2,"fuschia","thecount",0,7200
"51","2010.12.07",2,"gelfling","thecount",0,7200
"52","2010.12.07",2,"gomez","thecount",0,7200
"53","2010.12.07",2,"helsing","thecount",0,7200
"54","2010.12.07",2,"lucy","thecount",0,7200
