"","donor","receiver","possible.sec","donation.sec","kinship","donor.sex","receiver.sex","donor.age.2014.10.07","receiver.age.2014.10.07","donation.rate"
"1","artimis","bat2",3600,0,0,"m","f",19.08333333,14.33333333,0
"2","artimis","bat3",3600,0,0.1903,"m","f",19.08333333,12.35416667,0
"3","artimis","bat4",3600,0,0.1732,"m","f",19.08333333,7.5,0
"4","artimis","bella",64800,0,0,"m","f",19.08333333,9.916666667,0
"5","artimis","cerce",46800,0,0,"m","f",19.08333333,13.64583333,0
"6","artimis","cerceson",7200,0,0,"m","m",19.08333333,2.375,0
"7","artimis","countess",39600,0,0.008,"m","f",19.08333333,17.20833333,0
"8","artimis","flapper",14400,0,0.2838,"m","m",19.08333333,3.416666667,0
"9","artimis","fuschia",7200,0,0.2422,"m","m",19.08333333,8.229166667,0
"10","artimis","gelfling",7200,0,0,"m","m",19.08333333,13.70833333,0
"11","artimis","gremlin",3600,0,0.0434,"m","m",19.08333333,1.020833333,0
"12","artimis","helsing",7200,0,0.3103,"m","m",19.08333333,16.75,0
"13","artimis","lily",25200,0,0,"m","f",19.08333333,3.041666667,0
"14","artimis","lucy",50400,0,0.0525,"m","f",19.08333333,8.229166667,0
"15","artimis","marce",10800,0,0,"m","f",19.08333333,1.479166667,0
"16","artimis","maribelo",7200,0,0.1189,"m","m",19.08333333,5.333333333,0
"17","artimis","mina",25200,0,0.4187,"m","f",19.08333333,9.270833333,0
"18","artimis","mya",61200,0,0.0587,"m","f",19.08333333,18.75,0
"19","artimis","parmalee",7200,0,0.1461,"m","m",19.08333333,7.166666667,0
"20","artimis","pixus",7200,0,0,"m","m",19.08333333,2.270833333,0
"21","artimis","snow",7200,0,0,"m","f",19.08333333,1.354166667,0
"22","artimis","speedster",7200,0,0,"m","m",19.08333333,3.416666667,0
"23","artimis","streblick",7200,0,0.1346,"m","m",19.08333333,6.333333333,0
"24","artimis","tequila",7200,0,0,"m","m",19.08333333,15,0
"25","artimis","thecount",14400,0,0,"m","m",19.08333333,6.416666667,0
"26","artimis","vampirella",54000,0,0.0884,"m","f",19.08333333,6.416666667,0
"27","artimis","veronica",54000,0,0.0472,"m","f",19.08333333,8.229166667,0
"28","artimis","whimsey",7200,0,0.0012,"m","m",19.08333333,2.854166667,0
"29","artimis","zaria",21600,0,0,"m","f",19.08333333,2.354166667,0
"30","barnabus","bella",57600,0,0,"m","f",20,9.916666667,0
"31","barnabus","cerce",43200,0,0.074,"m","f",20,13.64583333,0
"32","barnabus","cerceson",7200,0,0,"m","m",20,2.375,0
"33","barnabus","countess",36000,0,0,"m","f",20,17.20833333,0
"34","barnabus","flapper",14400,0,0,"m","m",20,3.416666667,0
"35","barnabus","fuschia",7200,0,0.008,"m","m",20,8.229166667,0
"36","barnabus","gelfling",7200,0,0,"m","m",20,13.70833333,0
"37","barnabus","helsing",7200,0,0.0578,"m","m",20,16.75,0
"38","barnabus","lily",21600,0,0.2329,"m","f",20,3.041666667,0
"39","barnabus","lucy",50400,0,0,"m","f",20,8.229166667,0
"40","barnabus","maribelo",7200,0,0,"m","m",20,5.333333333,0
"41","barnabus","mina",21600,0,0,"m","f",20,9.270833333,0
"42","barnabus","mya",57600,0,0.0504,"m","f",20,18.75,0
"43","barnabus","parmalee",7200,0,0,"m","m",20,7.166666667,0
"44","barnabus","pixus",7200,0,0,"m","m",20,2.270833333,0
"45","barnabus","speedster",7200,0,0.0371,"m","m",20,3.416666667,0
"46","barnabus","streblick",7200,0,0,"m","m",20,6.333333333,0
"47","barnabus","tequila",7200,0,0.0897,"m","m",20,15,0
"48","barnabus","thecount",14400,0,0,"m","m",20,6.416666667,0
"49","barnabus","vampirella",50400,0,0,"m","f",20,6.416666667,0
"50","barnabus","veronica",50400,0,0,"m","f",20,8.229166667,0
"51","barnabus","whimsey",7200,0,0,"m","m",20,2.854166667,0
"52","barnabus","zaria",14400,0,0.0104,"m","f",20,2.354166667,0
"53","bat2","bat3",50400,1240,0.4777,"f","f",14.33333333,12.35416667,0.0246031746031746
"54","bat2","bat4",43200,1320,0.6729,"f","f",14.33333333,7.5,0.0305555555555556
"55","bat2","bat5",28800,1720,0.2241,"f","m",14.33333333,NA,0.0597222222222222
"56","bat2","bat6",28800,6440,0.2058,"f","f",14.33333333,NA,0.223611111111111
"57","bat2","bella",32400,0,0.0193,"f","f",14.33333333,9.916666667,0
"58","bat2","cerce",25200,0,0.1668,"f","f",14.33333333,13.64583333,0
"59","bat2","countess",25200,0,0,"f","f",14.33333333,17.20833333,0
"60","bat2","gremlin",3600,0,0.1182,"f","m",14.33333333,1.020833333,0
"61","bat2","lily",28800,0,0.0215,"f","f",14.33333333,3.041666667,0
"62","bat2","lucy",18000,0,0.0834,"f","f",14.33333333,8.229166667,0
"63","bat2","marce",32400,0,0.0883,"f","f",14.33333333,1.479166667,0
"64","bat2","mina",25200,0,0.0054,"f","f",14.33333333,9.270833333,0
"65","bat2","mya",25200,0,0,"f","f",14.33333333,18.75,0
