bat1,bat2,wang19,ml19,pedigree wang19,pedigree m19
artimis,barnabus,-0.0793,0.0801,-0.0793,0.0801
artimis,bat1,-0.0392,0.0587,-0.0392,0.0587
artimis,bat2,-0.4812,0,-0.4812,0
artimis,bat3,-0.1295,0.1903,-0.1295,0.1903
artimis,bat4,-0.0493,0.1732,-0.0493,0.1732
artimis,bat5,-0.1828,0,-0.1828,0
artimis,bat6,-0.0396,0,-0.0396,0
artimis,bat7,-0.1484,0,-0.1484,0
artimis,bella,-0.0612,0,-0.0612,0
artimis,cerce,0.0796,0,0.0796,0
artimis,cerceson,-0.2947,0,-0.2947,0
artimis,countess,-0.2437,0.008,-0.2437,0.008
artimis,desi,-0.3071,0.0533,-0.3071,0.0533
artimis,edward,0.1376,0.3483,0.1376,0.3483
artimis,flapper,-0.0153,0.2838,-0.0153,0.2838
artimis,fuschia,0.155,0.2422,0.155,0.2422
artimis,gelfling,-0.2715,0,-0.2715,0
artimis,gomez,-0.2551,0,-0.2551,0
artimis,gremlin,0.16,0.0434,0.16,0.0434
artimis,helsing,0.208,0.3103,0.208,0.3103
artimis,houdini,-0.1457,0.0237,-0.1457,0.0237
artimis,lily,-0.0343,0,-0.0343,0
artimis,lilyson,0.1118,0.2044,0.1118,0.2044
artimis,lucy,-0.0755,0.0525,-0.0755,0.0525
artimis,lucyson,-0.2156,0,-0.2156,0
artimis,marce,-0.1267,0,-0.1267,0
artimis,maribelo,-0.0386,0.1189,-0.0386,0.1189
artimis,mina,0.3063,0.4187,0.3063,0.4187
artimis,mya,-0.2298,0.0587,-0.2298,0.0587
artimis,parmalee,-0.0728,0.1461,-0.0728,0.1461
artimis,pixus,0.0415,0,0.0415,0
artimis,sheldon,-0.0174,0,-0.0174,0
artimis,snow,-0.3581,0,-0.3581,0
artimis,sonofzaria,-0.358,0,-0.358,0
artimis,speedster,-0.1708,0,-0.1708,0
artimis,streblick,-0.0386,0.1346,-0.0386,0.1346
artimis,tequila,-0.285,0,-0.285,0
artimis,thecount,-0.2078,0,-0.2078,0
artimis,vampirella,0.1531,0.0884,0.1531,0.0884
artimis,leonard,0.0477,0.1144,0.0477,0.1144
artimis,veronica,-0.3762,0.0472,-0.3762,0.0472
artimis,vlad,0.0312,0.1487,0.0312,0.1487
artimis,whimsey,-0.194,0.0012,-0.194,0.0012
artimis,zaria,-0.0077,0,-0.0077,0
artimis,zarison,0.187,0.1613,0.187,0.1613
barnabus,artimis,-0.0793,0.0801,-0.0793,0.0801
barnabus,bat1,-0.2131,0,-0.2131,0
barnabus,bat2,-0.3133,0.0691,-0.3133,0.0691
barnabus,bat3,-0.1359,0.0999,-0.1359,0.0999
barnabus,bat4,-0.1834,0,-0.1834,0
barnabus,bat5,-0.1785,0.0338,-0.1785,0.0338
barnabus,bat6,-0.1032,0.0058,-0.1032,0.0058
barnabus,bat7,-0.1886,0,-0.1886,0
barnabus,bella,-0.0451,0,-0.0451,0
barnabus,cerce,-0.0339,0.074,-0.0339,0.074
barnabus,cerceson,-0.1826,0,-0.1826,0
barnabus,countess,-0.3179,0,-0.3179,0
barnabus,desi,-0.1956,0.2288,-0.1956,0.2288
barnabus,edward,-0.1404,0.0725,-0.1404,0.0725
barnabus,flapper,-0.1631,0,-0.1631,0
barnabus,fuschia,0.0327,0.008,0.0327,0.008
barnabus,gelfling,-0.05,0,-0.05,0
barnabus,gomez,-0.4343,0,-0.4343,0
barnabus,gremlin,0.4275,0.6074,0.4275,0.6074
barnabus,helsing,0.01,0.0578,0.01,0.0578
barnabus,houdini,-0.0664,0.0865,-0.0664,0.0865
barnabus,lily,0.1257,0.2329,0.1257,0.2329
barnabus,lilyson,0.1372,0.0942,0.1372,0.0942
barnabus,lucy,-0.4053,0,-0.4053,0
barnabus,lucyson,-0.2697,0,-0.2697,0
barnabus,marce,-0.0999,0,-0.0999,0
barnabus,maribelo,-0.451,0,-0.451,0
barnabus,mina,-0.2202,0,-0.2202,0
barnabus,mya,-0.4167,0.0504,-0.4167,0.0504
barnabus,parmalee,-0.3773,0,-0.3773,0
barnabus,pixus,-0.3815,0,-0.3815,0
barnabus,sheldon,0.1305,0.0894,0.1305,0.0894
barnabus,snow,-0.0922,0.0736,-0.0922,0.0736
barnabus,sonofzaria,-0.5186,0,-0.5186,0
barnabus,speedster,-0.0387,0.0371,-0.0387,0.0371
barnabus,streblick,-0.1932,0,-0.1932,0
barnabus,tequila,-0.3802,0.0897,-0.3802,0.0897
barnabus,thecount,-0.1948,0,-0.1948,0
barnabus,vampirella,0.1242,0,0.1242,0
barnabus,leonard,-0.3421,0,-0.3421,0
barnabus,veronica,-0.3374,0,-0.3374,0
barnabus,vlad,-0.1342,0.0519,-0.1342,0.0519
barnabus,whimsey,-0.2087,0,-0.2087,0
barnabus,zaria,-0.1571,0.0104,-0.1571,0.0104
barnabus,zarison,0.0607,0,0.0607,0
bat1,artimis,-0.0392,0.0587,-0.0392,0.0587
bat1,barnabus,-0.2131,0,-0.2131,0
bat1,bat2,-0.1829,0.0885,-0.1829,0.0885
bat1,bat3,0.1096,0.253,0.1096,0.253
bat1,bat4,0.0168,0.2724,0.0168,0.2724
bat1,bat5,0.3252,0.4463,0.3252,0.4463
bat1,bat6,0.2579,0.3218,0.2579,0.3218
bat1,bat7,0.0538,0,0.0538,0
bat1,bella,-0.0145,0,-0.0145,0
bat1,cerce,0.1079,0,0.1079,0
bat1,cerceson,0.0612,0,0.0612,0
bat1,countess,0.405,0.5445,0.405,0.5445
bat1,desi,-0.2882,0,-0.2882,0
bat1,edward,-0.2389,0,-0.2389,0
bat1,flapper,0.3795,0.6671,0.3795,0.6671
bat1,fuschia,-0.105,0.1222,-0.105,0.1222
bat1,gelfling,0.119,0.1259,0.119,0.1259
bat1,gomez,-0.0213,0.3888,-0.0213,0.3888
bat1,gremlin,-0.0231,0.0647,-0.0231,0.0647
bat1,helsing,-0.0304,0,-0.0304,0
bat1,houdini,-0.413,0,-0.413,0
bat1,leonard,0.0463,0.1481,0.0463,0.1481
