name,sex,age20141007
artimis,m,19.08333333
barnabus,m,20
bat1,f,
bat2,f,14.33333333
bat3,f,12.35416667
bat4,f,7.5
bat5,m,
bat6,f,
bat7,f,
bella,f,9.916666667
cerce,f,13.64583333
cerceson,m,2.375
countess,f,17.20833333
desi,m,11.70833333
edward,m,9.833333333
flapper,m,3.416666667
fuschia,m,8.229166667
gelfling,m,13.70833333
gomez,m,11
gremlin,m,1.020833333
helsing,m,16.75
houdini,m,1.083333333
lily,f,3.041666667
lilyson,m,0.6875
lucy,f,8.229166667
lucyson,m,1.270833333
marce,f,1.479166667
maribelo,m,5.333333333
mina,f,9.270833333
mya,f,18.75
parmalee,m,7.166666667
pixus,m,2.270833333
sheldon,m,1.833333333
snow,f,1.354166667
sonofzaria,m,0.083333333
speedster,m,3.416666667
streblick,m,6.333333333
tequila,m,15
thecount,m,6.416666667
vampirella,f,6.416666667
leonard,m,1.875
veronica,f,8.229166667
vlad,m,5.333333333
whimsey,m,2.854166667
zaria,f,2.354166667
zarison,m,1.020833333
