"","donor","receiver","rate"
"1","artimis","bat2",0
"2","artimis","bat3",0
"3","artimis","bat4",0
"4","artimis","bella",0
"5","artimis","cerce",0
"6","artimis","cerceson",0
"7","artimis","countess",0
"8","artimis","flapper",0
"9","artimis","fuschia",0
"10","artimis","gelfling",0
"11","artimis","gremlin",0
"12","artimis","helsing",0
"13","artimis","lily",0
"14","artimis","lucy",0
"15","artimis","marce",0
"16","artimis","maribelo",0
"17","artimis","mina",0
"18","artimis","mya",0
"19","artimis","parmalee",0
"20","artimis","pixus",0
"21","artimis","snow",0
"22","artimis","speedster",0
"23","artimis","streblick",0
"24","artimis","tequila",0
"25","artimis","thecount",0
"26","artimis","vampirella",0
"27","artimis","veronica",0
"28","artimis","whimsey",0
"29","artimis","zaria",0
"30","barnabus","bella",0
"31","barnabus","cerce",0
"32","barnabus","cerceson",0
"33","barnabus","countess",0
"34","barnabus","flapper",0
"35","barnabus","fuschia",0
"36","barnabus","gelfling",0
"37","barnabus","helsing",0
"38","barnabus","lily",0
"39","barnabus","lucy",0
"40","barnabus","maribelo",0
"41","barnabus","mina",0
"42","barnabus","mya",0
"43","barnabus","parmalee",0
"44","barnabus","pixus",0
"45","barnabus","speedster",0
"46","barnabus","streblick",0
"47","barnabus","tequila",0
"48","barnabus","thecount",0
"49","barnabus","vampirella",0
"50","barnabus","veronica",0
"51","barnabus","whimsey",0
"52","barnabus","zaria",0
"53","bat3","bat4",300
"54","bat3","bella",64
"55","bat3","cerce",94
"56","bat3","vampirella",93
"57","bat3","veronica",5
"58","bat4","bat3",180
"59","bella","bat2",25.8
"60","bella","bat3",0
"61","bella","bat4",0
"62","bella","cerce",40.8
"63","bella","cerceson",0
"64","bella","countess",4.67857142857143
"65","bella","flapper",0.833333333333333
"66","bella","fuschia",17.75
"67","bella","gelfling",0
"68","bella","gremlin",840
"69","bella","helsing",0
"70","bella","lily",324.428571428571
"71","bella","lucy",19.6304347826087
"72","bella","marce",1.1
"73","bella","maribelo",9.25
"74","bella","mina",36.9166666666667
"75","bella","mya",83.875
"76","bella","parmalee",0
"77","bella","pixus",347
"78","bella","snow",0
"79","bella","speedster",0
"80","bella","streblick",0
"81","bella","tequila",0
"82","bella","thecount",2.66666666666667
"83","bella","vampirella",48.3333333333333
"84","bella","veronica",62.8409090909091
"85","bella","whimsey",0
"86","bella","zaria",0
"87","cerce","bat2",1.4
"88","cerce","bat3",88.2307692307692
"89","cerce","bat4",92.6923076923077
"90","cerce","bella",1.53125
"91","cerce","cerceson",162
"92","cerce","countess",10.2857142857143
"93","cerce","flapper",23.3333333333333
"94","cerce","fuschia",0
"95","cerce","gelfling",0
"96","cerce","gremlin",0
"97","cerce","helsing",0
"98","cerce","lily",0
"99","cerce","lucy",0
"100","cerce","marce",121.375
"101","cerce","maribelo",0
"102","cerce","mina",8.18181818181818
"103","cerce","mya",1.95
"104","cerce","parmalee",0
"105","cerce","pixus",0
"106","cerce","snow",3.8
"107","cerce","speedster",129.5
"108","cerce","streblick",0
"109","cerce","tequila",0
"110","cerce","thecount",0
"111","cerce","vampirella",0.416666666666667
"112","cerce","veronica",10.6666666666667
"113","cerce","whimsey",0
"114","cerce","zaria",0.416666666666667
"115","cerceson","bat2",0
"116","cerceson","bat3",0
"117","cerceson","bat4",0
"118","cerceson","bella",0
"119","cerceson","cerce",49.9444444444444
"120","cerceson","countess",0
"121","cerceson","gremlin",0
"122","cerceson","lily",0
"123","cerceson","lucy",0
"124","cerceson","marce",0
"125","cerceson","mina",0
"126","cerceson","mya",0
"127","cerceson","snow",0
"128","cerceson","vampirella",0
"129","cerceson","veronica",0
"130","cerceson","zaria",0
"131","countess","bat2",11.4
"132","countess","bat3",7.5
"133","countess","bat4",25.0909090909091
"134","countess","bella",6.28125
"135","countess","cerce",41.40625
"136","countess","cerceson",0
"137","countess","flapper",85.5
"138","countess","fuschia",1.25
"139","countess","gelfling",0
"140","countess","gremlin",0
"141","countess","helsing",10.75
"142","countess","lily",7.41666666666667
"143","countess","lucy",4.15625
"144","countess","marce",31.625
"145","countess","maribelo",0
"146","countess","mina",12.2692307692308
"147","countess","mya",1.65384615384615
"148","countess","parmalee",0
"149","countess","pixus",0
"150","countess","snow",138.142857142857
"151","countess","speedster",5.5
"152","countess","streblick",0
"153","countess","tequila",0
"154","countess","thecount",85.8333333333333
"155","countess","vampirella",15.3461538461538
"156","countess","veronica",51.7941176470588
"157","countess","whimsey",0
"158","countess","zaria",9.66666666666667
"159","desi","bat2",0
"160","desi","bat3",0
"161","desi","bat4",0
"162","desi","bella",0
"163","desi","cerce",0
"164","desi","cerceson",0
"165","desi","countess",0
"166","desi","flapper",0
"167","desi","fuschia",0
"168","desi","gelfling",0
"169","desi","gremlin",0
"170","desi","helsing",0
"171","desi","lily",0
"172","desi","lucy",0
"173","desi","marce",0
"174","desi","maribelo",0
"175","desi","mina",0
"176","desi","mya",0
"177","desi","parmalee",0
"178","desi","pixus",0
"179","desi","snow",0
"180","desi","speedster",0
"181","desi","streblick",0
"182","desi","tequila",0
"183","desi","thecount",0
"184","desi","vampirella",0
"185","desi","veronica",0
"186","desi","whimsey",0
"187","desi","zaria",0
"188","edward","bat2",0
"189","edward","bat3",0
"190","edward","bat4",0
"191","edward","bella",0
"192","edward","cerce",0
"193","edward","cerceson",0
"194","edward","countess",0
"195","edward","flapper",0
"196","edward","fuschia",0
"197","edward","gelfling",0
"198","edward","gremlin",0
"199","edward","helsing",0
"200","edward","lily",0
"201","edward","lucy",0
"202","edward","marce",0
"203","edward","maribelo",0
"204","edward","mina",0
"205","edward","mya",0
"206","edward","parmalee",0
"207","edward","pixus",0
"208","edward","snow",0
"209","edward","speedster",0
"210","edward","streblick",0
"211","edward","tequila",0
"212","edward","thecount",0
"213","edward","vampirella",0
"214","edward","veronica",0
"215","edward","whimsey",0
"216","edward","zaria",0
"217","flapper","bat2",0
"218","flapper","bat3",0
"219","flapper","bat4",0
"220","flapper","bella",0
"221","flapper","cerce",0
"222","flapper","cerceson",0
"223","flapper","countess",35.7857142857143
"224","flapper","gremlin",0
"225","flapper","lily",0
"226","flapper","lucy",0
"227","flapper","marce",0
"228","flapper","mina",0
"229","flapper","mya",0
"230","flapper","pixus",0
"231","flapper","snow",93.3333333333333
"232","flapper","speedster",65.5
"233","flapper","vampirella",0
"234","flapper","veronica",31.3888888888889
"235","flapper","whimsey",0
"236","flapper","zaria",10
"237","four","bat2",0
"238","four","bat3",0
"239","four","bat4",0
"240","four","bella",0
"241","four","cerce",0
"242","four","countess",0
"243","four","gremlin",0
"244","four","lily",0
"245","four","lucy",0
"246","four","marce",0
"247","four","mina",0
"248","four","mya",0
"249","four","snow",0
"250","four","vampirella",0
"251","four","veronica",0
"252","four","zaria",0
"253","fuschia","bat2",0
"254","fuschia","bat3",0
"255","fuschia","bat4",0
"256","fuschia","bella",0.388888888888889
"257","fuschia","cerce",0
"258","fuschia","cerceson",0
"259","fuschia","countess",0
"260","fuschia","flapper",0
"261","fuschia","gelfling",0
"262","fuschia","gremlin",0
"263","fuschia","helsing",0
"264","fuschia","lily",0
"265","fuschia","lucy",0
"266","fuschia","marce",24
"267","fuschia","maribelo",0
"268","fuschia","mina",0
"269","fuschia","mya",0
"270","fuschia","parmalee",0
"271","fuschia","pixus",0
