source,name,sex,mother,estimated.birth,FA,fa.measure.date,notes
captive-born,sss,f,sc,2/15/16,61,1/19/17,
captive-born,lds,f ,r,4/15/16,59.5,1/19/17,
captive-born,ld,f ,cs,7/3/16,58,1/19/17,
captive-born,ddld,f,ss,7/20/16,59.4,1/19/17,
captive-born,dld,m,d,8/8/16,56.2,9/13/17,"2017-01-19, nonscrotal and 55.8 fa"
captive-born,ldc,m,cc,3/6/16,56.3,9/13/17,
captive-born,ldd,m,ccs,3/6/16,55.4,1/19/17,
captive-born,dr,f,ds,7/3/16,61,1/19/17,
captive-born,sld,m,ccc,8/21/16,51.5,9/13/17,"banded as SLD on Jan 22, 2017, scrotal at death"
captive-born,son.of.ola,m,ola,6/28/16,60.9,9/13/17,"previously DLS small, nonscrotal Jan 18 2017, FA 60.4 on 2017-01-19, scrotal at death "
captive-born,lsd,f,cd,4/15/16,,,
captive-born,no.band,f,una,11/22/16,,,
captive-born,d11,m,eve,12/15/16,54.7,9/13/17,"previously D.11, scrotal at death"
