"","actor","receiver","sharing.sec","observation.hours","observation.seconds","donation.rate","actor.sex","receiver.sex"
"1","c","cat",0,15,54000,0,"F","F"
"2","c","cc",0,17,61200,0,"F","F"
"3","c","ccc",0,18,64800,0,"F","F"
"4","c","ccs",0,19,68400,0,"F","F"
"5","c","cd",0,8,28800,0,"F","F"
"6","c","cs",0,17,61200,0,"F","F"
"7","c","csc",32,3,10800,0.00296296296296296,"F","F"
"8","c","d",0,13,46800,0,"F","F"
"9","c","dcd",0,18,64800,0,"F","F"
"10","c","dd",68,19,68400,0.000994152046783626,"F","F"
"11","c","ddd",0,10,36000,0,"F","M"
"12","c","ddld",0,15,54000,0,"F","F"
"13","c","dld",0,15,54000,0,"F","M"
"14","c","dos",0,16,57600,0,"F","F"
"15","c","dr",0,10,36000,0,"F","F"
"16","c","ds",0,18,64800,0,"F","F"
"17","c","eve",0,15,54000,0,"F","F"
"18","c","hilga",0,1,3600,0,"F","F"
"19","c","ivy",545,20,72000,0.00756944444444444,"F","F"
"20","c","ld",0,10,36000,0,"F","F "
"21","c","ldc",0,15,54000,0,"F","M"
"22","c","ldd",0,15,54000,0,"F","M"
"23","c","lds",81,16,57600,0.00140625,"F","F "
"24","c","lsd",0,4,14400,0,"F","F"
"25","c","no.band",0,12,43200,0,"F","F"
"26","c","ola",0,15,54000,0,"F","F"
"27","c","r",0,17,61200,0,"F","F"
"28","c","rc",13,18,64800,0.000200617283950617,"F","F"
"29","c","s",16,18,64800,0.000246913580246914,"F","F"
"30","c","sc",0,12,43200,0,"F","F"
"31","c","scc",0,3,10800,0,"F","F"
"32","c","scs",0,5,18000,0,"F","F"
"33","c","sd",71,18,64800,0.00109567901234568,"F","F"
"34","c","sld",0,5,18000,0,"F","M"
"35","c","son.of.ola",0,15,54000,0,"F","M"
"36","c","ss",0,11,39600,0,"F","F"
"37","c","sss",0,16,57600,0,"F","F"
"38","c","tes",0,15,54000,0,"F","F"
"39","c","una",0,5,18000,0,"F","F"
"40","cat","c",0,15,54000,0,"F","F"
"41","cat","cc",0,10,36000,0,"F","F"
"42","cat","ccc",212,15,54000,0.00392592592592593,"F","F"
"43","cat","ccs",30,15,54000,0.000555555555555556,"F","F"
"44","cat","cd",138,15,54000,0.00255555555555556,"F","F"
"45","cat","cs",0,10,36000,0,"F","F"
"46","cat","d",256,15,54000,0.00474074074074074,"F","F"
"47","cat","dcd",0,5,18000,0,"F","F"
"48","cat","dd",3845,20,72000,0.0534027777777778,"F","F"
"49","cat","ddd",166,5,18000,0.00922222222222222,"F","M"
"50","cat","ddld",0,15,54000,0,"F","F"
"51","cat","dld",11,15,54000,0.000203703703703704,"F","M"
"52","cat","dos",101,15,54000,0.00187037037037037,"F","F"
"53","cat","dr",0,15,54000,0,"F","F"
"54","cat","ds",0,15,54000,0,"F","F"
"55","cat","eve",857,10,36000,0.0238055555555556,"F","F"
"56","cat","ivy",0,15,54000,0,"F","F"
"57","cat","ld",701,15,54000,0.0129814814814815,"F","F "
"58","cat","ldc",0,1,3600,0,"F","M"
"59","cat","ldd",0,15,54000,0,"F","M"
"60","cat","lds",125,15,54000,0.00231481481481481,"F","F "
"61","cat","lsd",0,4,14400,0,"F","F"
"62","cat","no.band",393,12,43200,0.00909722222222222,"F","F"
"63","cat","ola",1138,15,54000,0.0210740740740741,"F","F"
"64","cat","r",0,15,54000,0,"F","F"
"65","cat","rc",0,5,18000,0,"F","F"
"66","cat","s",0,15,54000,0,"F","F"
"67","cat","sc",73,15,54000,0.00135185185185185,"F","F"
"68","cat","scs",0,14,50400,0,"F","F"
"69","cat","sd",0,14,50400,0,"F","F"
"70","cat","sld",0,10,36000,0,"F","M"
"71","cat","son.of.ola",0,10,36000,0,"F","M"
"72","cat","ss",0,16,57600,0,"F","F"
"73","cat","sss",0,10,36000,0,"F","F"
"74","cat","tes",71,15,54000,0.00131481481481481,"F","F"
"75","cat","una",1165,14,50400,0.0231150793650794,"F","F"
"76","cc","c",74,18,64800,0.00114197530864198,"F","F"
"77","cc","cat",0,10,36000,0,"F","F"
"78","cc","ccc",0,10,36000,0,"F","F"
"79","cc","ccs",0,19,68400,0,"F","F"
"80","cc","cd",239,18,64800,0.00368827160493827,"F","F"
"81","cc","cs",0,18,64800,0,"F","F"
"82","cc","csc",0,3,10800,0,"F","F"
"83","cc","d",197,18,64800,0.00304012345679012,"F","F"
"84","cc","dcd",0,8,28800,0,"F","F"
"85","cc","dd",300,19,68400,0.0043859649122807,"F","F"
"86","cc","ddd",0,10,36000,0,"F","M"
"87","cc","ddld",0,15,54000,0,"F","F"
