"","actor","receiver","grooming.sec","observation.hours","observation.seconds","grooming.rate","actor.sex","receiver.sex"
"1","c","cat",115,30,108000,0.00106481481481481,"F","F"
"2","c","cc",0,30,108000,0,"F","F"
"3","c","ccc",437,30,108000,0.0040462962962963,"F","F"
"4","c","ccs",37,30,108000,0.000342592592592593,"F","F"
"5","c","cd",0,10,36000,0,"F","F"
"6","c","cs",19,24,86400,0.000219907407407407,"F","F"
"7","c","d",6,25,90000,6.66666666666667e-05,"F","F"
"8","c","dcd",0,30,108000,0,"F","F"
"9","c","dd",260,30,108000,0.00240740740740741,"F","F"
"10","c","ddd",737,22,79200,0.00930555555555555,"F","M"
"11","c","ddld",0,30,108000,0,"F","F"
"12","c","dld",0,20,72000,0,"F","M"
"13","c","dos",130,31,111600,0.00116487455197133,"F","F"
"14","c","dr",73,20,72000,0.00101388888888889,"F","F"
"15","c","ds",0,30,108000,0,"F","F"
"16","c","eve",853,25,90000,0.00947777777777778,"F","F"
"17","c","ivy",15308,40,144000,0.106305555555556,"F","F"
"18","c","ld",5,20,72000,6.94444444444444e-05,"F","F "
"19","c","ldc",0,25,90000,0,"F","M"
"20","c","ldd",0,30,108000,0,"F","M"
"21","c","lds",517,31,111600,0.0046326164874552,"F","F "
"22","c","lsd",0,7,25200,0,"F","F"
"23","c","no.band",39,26,93600,0.000416666666666667,"F","F"
"24","c","ola",1306,30,108000,0.0120925925925926,"F","F"
"25","c","r",115,20,72000,0.00159722222222222,"F","F"
"26","c","rc",0,30,108000,0,"F","F"
"27","c","s",293,30,108000,0.00271296296296296,"F","F"
"28","c","sc",13,23,82800,0.000157004830917874,"F","F"
"29","c","scs",0,17,61200,0,"F","F"
"30","c","sd",71,29,104400,0.00068007662835249,"F","F"
"31","c","sld",0,20,72000,0,"F","M"
"32","c","son.of.ola",0,30,108000,0,"F","M"
"33","c","ss",0,22,79200,0,"F","F"
"34","c","sss",0,20,72000,0,"F","F"
"35","c","tes",105,30,108000,0.000972222222222222,"F","F"
"36","c","una",229,11,39600,0.00578282828282828,"F","F"
"37","cat","c",52,30,108000,0.000481481481481481,"F","F"
"38","cat","cc",0,20,72000,0,"F","F"
"39","cat","ccc",11,31,111600,9.85663082437276e-05,"F","F"
"40","cat","ccs",20,30,108000,0.000185185185185185,"F","F"
"41","cat","cd",0,30,108000,0,"F","F"
"42","cat","cs",26,25,90000,0.000288888888888889,"F","F"
"43","cat","d",78,30,108000,0.000722222222222222,"F","F"
"44","cat","dcd",0,20,72000,0,"F","F"
"45","cat","dd",96,40,144000,0.000666666666666667,"F","F"
"46","cat","ddd",448,13,46800,0.00957264957264957,"F","M"
"47","cat","ddld",0,30,108000,0,"F","F"
"48","cat","dld",8,30,108000,7.40740740740741e-05,"F","M"
"49","cat","dos",137,30,108000,0.00126851851851852,"F","F"
"50","cat","dr",0,30,108000,0,"F","F"
"51","cat","ds",0,26,93600,0,"F","F"
"52","cat","eve",1029,25,90000,0.0114333333333333,"F","F"
"53","cat","ivy",87,30,108000,0.000805555555555556,"F","F"
"54","cat","ld",22,30,108000,0.000203703703703704,"F","F "
"55","cat","ldc",0,7,25200,0,"F","M"
"56","cat","ldd",0,30,108000,0,"F","M"
"57","cat","lds",0,29,104400,0,"F","F "
"58","cat","lsd",0,7,25200,0,"F","F"
"59","cat","no.band",38,24,86400,0.000439814814814815,"F","F"
"60","cat","ola",910,25,90000,0.0101111111111111,"F","F"
"61","cat","r",41,30,108000,0.00037962962962963,"F","F"
"62","cat","rc",0,20,72000,0,"F","F"
"63","cat","s",6,30,108000,5.55555555555556e-05,"F","F"
"64","cat","sc",43,25,90000,0.000477777777777778,"F","F"
"65","cat","scs",9,29,104400,8.62068965517241e-05,"F","F"
"66","cat","sd",0,29,104400,0,"F","F"
"67","cat","sld",0,25,90000,0,"F","M"
"68","cat","son.of.ola",22,20,72000,0.000305555555555556,"F","M"
"69","cat","ss",0,31,111600,0,"F","F"
"70","cat","sss",34,20,72000,0.000472222222222222,"F","F"
"71","cat","tes",11,26,93600,0.000117521367521368,"F","F"
"72","cat","una",429,29,104400,0.00410919540229885,"F","F"
"73","cc","c",0,30,108000,0,"F","F"
"74","cc","cat",13,20,72000,0.000180555555555556,"F","F"
"75","cc","ccc",9,22,79200,0.000113636363636364,"F","F"
"76","cc","ccs",139,30,108000,0.00128703703703704,"F","F"
"77","cc","cd",189,30,108000,0.00175,"F","F"
"78","cc","cs",98,30,108000,0.000907407407407407,"F","F"
"79","cc","d",157,30,108000,0.0014537037037037,"F","F"
"80","cc","dcd",0,10,36000,0,"F","F"
"81","cc","dd",323,30,108000,0.00299074074074074,"F","F"
"82","cc","ddd",42,18,64800,0.000648148148148148,"F","M"
"83","cc","ddld",0,30,108000,0,"F","F"
"84","cc","dld",5,30,108000,4.62962962962963e-05,"F","M"
"85","cc","dos",6,30,108000,5.55555555555556e-05,"F","F"
"86","cc","dr",0,30,108000,0,"F","F"
"87","cc","ds",519,30,108000,0.00480555555555556,"F","F"
"88","cc","eve",257,30,108000,0.00237962962962963,"F","F"
"89","cc","ivy",56,30,108000,0.000518518518518519,"F","F"
"90","cc","ld",30,22,79200,0.000378787878787879,"F","F "
"91","cc","ldc",13920,25,90000,0.154666666666667,"F","M"
"92","cc","ldd",5,30,108000,4.62962962962963e-05,"F","M"
"93","cc","lds",275,31,111600,0.00246415770609319,"F","F "
"94","cc","lsd",0,7,25200,0,"F","F"
"95","cc","no.band",0,26,93600,0,"F","F"
"96","cc","ola",11,20,72000,0.000152777777777778,"F","F"
"97","cc","r",1317,30,108000,0.0121944444444444,"F","F"
"98","cc","rc",6,10,36000,0.000166666666666667,"F","F"
"99","cc","s",711,25,90000,0.0079,"F","F"
"100","cc","sc",0,20,72000,0,"F","F"
"101","cc","scs",3809,29,104400,0.0364846743295019,"F","F"
"102","cc","sd",18,25,90000,2e-04,"F","F"
"103","cc","sld",0,24,86400,0,"F","M"
"104","cc","son.of.ola",6,18,64800,9.25925925925926e-05,"F","M"
"105","cc","ss",228,31,111600,0.00204301075268817,"F","F"
"106","cc","sss",70,25,90000,0.000777777777777778,"F","F"
"107","cc","tes",26,30,108000,0.000240740740740741,"F","F"
"108","cc","una",18,24,86400,0.000208333333333333,"F","F"
"109","ccc","c",644,30,108000,0.00596296296296296,"F","F"
"110","ccc","cat",63,31,111600,0.000564516129032258,"F","F"
"111","ccc","cc",52,22,79200,0.000656565656565657,"F","F"
"112","ccc","ccs",49,20,72000,0.000680555555555556,"F","F"
"113","ccc","cd",90,30,108000,0.000833333333333333,"F","F"
"114","ccc","cs",27,30,108000,0.00025,"F","F"
"115","ccc","d",1423,25,90000,0.0158111111111111,"F","F"
"116","ccc","dcd",0,22,79200,0,"F","F"
"117","ccc","dd",19,30,108000,0.000175925925925926,"F","F"
"118","ccc","ddd",0,22,79200,0,"F","M"
"119","ccc","ddld",24,30,108000,0.000222222222222222,"F","F"
"120","ccc","dld",243,20,72000,0.003375,"F","M"
"121","ccc","dos",412,25,90000,0.00457777777777778,"F","F"
"122","ccc","dr",0,30,108000,0,"F","F"
"123","ccc","ds",349,25,90000,0.00387777777777778,"F","F"
"124","ccc","eve",267,30,108000,0.00247222222222222,"F","F"
"125","ccc","ivy",913,20,72000,0.0126805555555556,"F","F"
"126","ccc","ld",48,10,36000,0.00133333333333333,"F","F "
"127","ccc","ldc",0,30,108000,0,"F","M"
"128","ccc","ldd",0,25,90000,0,"F","M"
"129","ccc","lds",8,31,111600,7.16845878136201e-05,"F","F "
"130","ccc","lsd",0,7,25200,0,"F","F"
"131","ccc","no.band",1228,26,93600,0.0131196581196581,"F","F"
"132","ccc","ola",219,30,108000,0.00202777777777778,"F","F"
"133","ccc","r",56,30,108000,0.000518518518518519,"F","F"
"134","ccc","rc",195,27,97200,0.00200617283950617,"F","F"
"135","ccc","s",168,35,126000,0.00133333333333333,"F","F"
"136","ccc","sc",12,30,108000,0.000111111111111111,"F","F"
