"","dir.dyad","actor","receiver","grooming.rate","actor.sex","receiver.sex"
"1","dante_lilith","dante","lilith",0,"M","F"
"2","dante_queen","dante","queen",0,"M","F"
"3","dante_irma","dante","irma",0,"M","F"
"4","dante_kelly","dante","kelly",0,"M","F"
"5","dante_tiffany","dante","tiffany",0.00458867521367521,"M","F"
"6","dante_matt","dante","matt",0,"M","M"
"7","dante_shania","dante","shania",0,"M","F"
"8","dante_alexei","dante","alexei",0,"M","M"
"9","dante_jupiter","dante","jupiter",3.75626043405676e-05,"M","F"
"10","dante_bd","dante","bd",2.37806112123052e-05,"M","F"
"11","dante_cindy","dante","cindy",0,"M","F"
"12","dante_esther","dante","esther",0.000112770943175161,"M","F"
"13","dante_betty","dante","betty",0,"M","F"
"14","dante_gayle","dante","gayle",0,"M","F"
"15","dante_hera","dante","hera",3.56375707869557e-05,"M","F"
"16","dante_bscs","dante","bscs",0,"M","F"
"17","dante_fran","dante","fran",0,"M","F"
"18","dante_mabel","dante","mabel",0,"M","F"
"19","dante_vixen","dante","vixen",0,"M","F"
"20","dante_zelda","dante","zelda",0,"M","F"
"21","dante_winona","dante","winona",0,"M","F"
"22","dante_rina","dante","rina",8.04093567251462e-05,"M","F"
"23","dante_alicia","dante","alicia",0,"M","F"
"24","dante_piper","dante","piper",0,"M","F"
"25","dante_yzma","dante","yzma",0,"M","F"
"26","dante_opal","dante","opal",7.3826216273635e-05,"M","F"
"27","dante_noa","dante","noa",0,"M","M"
"28","dante_pup","dante","pup",0,"M","M"
"29","dante_uri","dante","uri",4.37445319335083e-06,"M","F"
"30","dante_xanthe","dante","xanthe",0,"M","M"
"31","lilith_dante","lilith","dante",7.59958071278826e-05,"F","M"
"32","lilith_queen","lilith","queen",9.94877856579984e-05,"F","F"
"33","lilith_irma","lilith","irma",5.41765169424744e-05,"F","F"
"34","lilith_kelly","lilith","kelly",0.00225955204216074,"F","F"
"35","lilith_tiffany","lilith","tiffany",0.00208804143126177,"F","F"
"36","lilith_matt","lilith","matt",0.000241963661774983,"F","M"
"37","lilith_shania","lilith","shania",0,"F","F"
"38","lilith_jupiter","lilith","jupiter",0.00278411147303655,"F","F"
"39","lilith_bd","lilith","bd",0.0047233893557423,"F","F"
"40","lilith_cindy","lilith","cindy",0.00172952149229521,"F","F"
"41","lilith_esther","lilith","esther",0.00151595744680851,"F","F"
