"bat1","bat2","dyad","kinship","site1","site2","season1","season2"
"alicia","bat1","alicia_bat1",0,"chorrera","zoo","lab","phd"
"alicia","bat2","alicia_bat2",0,"chorrera","zoo","lab","phd"
"alicia","bat3","alicia_bat3",0,"chorrera","zoo","lab","phd"
"alicia","bat4","alicia_bat4",0,"chorrera","zoo","lab","phd"
"alicia","bat5","alicia_bat5",0,"chorrera","zoo","lab","phd"
"alicia","bat6","alicia_bat6",0,"chorrera","zoo","lab","phd"
"alicia","bat7","alicia_bat7",0,"chorrera","zoo","lab","phd"
"alicia","bella","alicia_bella",0,"chorrera","zoo","lab","phd"
"alicia","betty","alicia_betty",0,"chorrera","tole","lab","lab"
"alicia","black-panther","alicia_black-panther",0,"chorrera","tole","lab","postdoc"
"alicia","c","alicia_c",0,"chorrera","tole","lab","postdoc"
"alicia","captain-america","alicia_captain-america",0,"chorrera","tole","lab","postdoc"
"alicia","cat","alicia_cat",0,"chorrera","las.pavas","lab","postdoc"
"alicia","cc","alicia_cc",0,"chorrera","tole","lab","postdoc"
"alicia","ccc","alicia_ccc",0,"chorrera","tole","lab","postdoc"
"alicia","ccs","alicia_ccs",0,"chorrera","tole","lab","postdoc"
"alicia","cd","alicia_cd",0,"chorrera","tole","lab","postdoc"
"alicia","cerce","alicia_cerce",0,"chorrera","zoo","lab","phd"
"alicia","cerceson","alicia_cerceson",0,"chorrera","zoo","lab","phd"
"alicia","cindy","alicia_cindy",0,"chorrera","tole","lab","lab"
"alicia","countess","alicia_countess",0,"chorrera","zoo","lab","phd"
"alicia","cs","alicia_cs",0,"chorrera","tole","lab","postdoc"
"alicia","csc","alicia_csc",0,"chorrera","tole","lab","postdoc"
"alicia","d","alicia_d",0,"chorrera","tole","lab","lab"
"alicia","daredevil","alicia_daredevil",0,"chorrera","tole","lab","postdoc"
"alicia","dcd","alicia_dcd",0,"chorrera","tole","lab","postdoc"
"alicia","dd","alicia_dd",0,"chorrera","tole","lab","postdoc"
"alicia","ddd","alicia_ddd",0,"chorrera","las.pavas","lab","postdoc"
"alicia","ddld","alicia_ddld",0,"chorrera","tole","lab","postdoc"
"alicia","desi","alicia_desi",0,"chorrera","zoo","lab","phd"
"alicia","dos","alicia_dos",0,"chorrera","las.pavas","lab","postdoc"
"alicia","dr","alicia_dr",0,"chorrera","tole","lab","postdoc"
"alicia","dr-strange","alicia_dr-strange",0,"chorrera","tole","lab","postdoc"
"alicia","ds","alicia_ds",0,"chorrera","tole","lab","postdoc"
"alicia","esther","alicia_esther",0,"chorrera","tole","lab","lab"
"alicia","eve","alicia_eve",0,"chorrera","las.pavas","lab","postdoc"
"alicia","falcon","alicia_falcon",0,"chorrera","tole","lab","postdoc"
"alicia","flapper","alicia_flapper",0,"chorrera","zoo","lab","phd"
"alicia","fran","alicia_fran",0,"chorrera","tole","lab","lab"
"alicia","fuschia","alicia_fuschia",0,"chorrera","zoo","lab","phd"
"alicia","gayle","alicia_gayle",0,"chorrera","tole","lab","lab"
"alicia","gelfing","alicia_gelfing",0,"chorrera","zoo","lab","phd"
"alicia","green-arrow","alicia_green-arrow",0,"chorrera","tole","lab","postdoc"
"alicia","gremlin","alicia_gremlin",0,"chorrera","zoo","lab","phd"
"alicia","helsing","alicia_helsing",0,"chorrera","zoo","lab","phd"
"alicia","hera","alicia_hera",0,"chorrera","tole","lab","lab"
"alicia","hilga","alicia_hilga",0,"chorrera","tole","lab","postdoc"
"alicia","houdini","alicia_houdini",0,"chorrera","zoo","lab","phd"
"alicia","hulk","alicia_hulk",0,"chorrera","tole","lab","postdoc"
"alicia","irma","alicia_irma",0,"chorrera","lake.bayano","lab","lab"
"alicia","iron-man","alicia_iron-man",0,"chorrera","tole","lab","postdoc"
"alicia","ivy","alicia_ivy",0,"chorrera","las.pavas","lab","postdoc"
"alicia","jenna-bat","alicia_jenna-bat",0,"chorrera","gamboa","lab","postdoc"
"alicia","jupiter","alicia_jupiter",0,"chorrera","lake.bayano","lab","lab"
"alicia","kelly","alicia_kelly",0,"chorrera","lake.bayano","lab","lab"
"alicia","ldc","alicia_ldc",0,"chorrera","tole","lab","postdoc"
"alicia","lds","alicia_lds",0,"chorrera","tole","lab","postdoc"
"alicia","lilith","alicia_lilith",0,"chorrera","lake.bayano","lab","lab"
"alicia","lily","alicia_lily",0,"chorrera","zoo","lab","phd"
"alicia","lilyson","alicia_lilyson",0,"chorrera","zoo","lab","phd"
"alicia","lsd","alicia_lsd",0,"chorrera","tole","lab","postdoc"
"alicia","lucy","alicia_lucy",0,"chorrera","zoo","lab","phd"
"alicia","lucyson","alicia_lucyson",0,"chorrera","zoo","lab","phd"
"alicia","mabel","alicia_mabel",0,"chorrera","tole","lab","lab"
"alicia","marce","alicia_marce",0,"chorrera","zoo","lab","phd"
"alicia","maribelo","alicia_maribelo",0,"chorrera","zoo","lab","phd"
"alicia","mina","alicia_mina",0,"chorrera","zoo","lab","phd"
"alicia","mya","alicia_mya",0,"chorrera","zoo","lab","phd"
"alicia","no-band","alicia_no-band",0,"chorrera","las.pavas","lab","postdoc"
"alicia","ola","alicia_ola",0,"chorrera","las.pavas","lab","postdoc"
"alicia","opal","alicia_opal",NA,"chorrera","chorrera","lab","lab"
"alicia","piper","alicia_piper",NA,"chorrera","chorrera","lab","lab"
"alicia","pixus","alicia_pixus",0,"chorrera","zoo","lab","phd"
"alicia","queen","alicia_queen",0,"chorrera","lake.bayano","lab","lab"
"alicia","r","alicia_r",0,"chorrera","tole","lab","postdoc"
"alicia","rc","alicia_rc",0,"chorrera","tole","lab","postdoc"
"alicia","rina","alicia_rina",NA,"chorrera","chorrera","lab","lab"
"alicia","s","alicia_s",0,"chorrera","tole","lab","postdoc"
"alicia","sam1","alicia_sam1",0,"chorrera","chilibre","lab","postdoc"
"alicia","sam2","alicia_sam2",0,"chorrera","chilibre","lab","postdoc"
"alicia","sam5","alicia_sam5",0,"chorrera","chilibre","lab","postdoc"
"alicia","sam6","alicia_sam6",0,"chorrera","chilibre","lab","postdoc"
"alicia","sam7","alicia_sam7",0,"chorrera","chilibre","lab","postdoc"
"alicia","sc","alicia_sc",0,"chorrera","tole","lab","postdoc"
"alicia","scc","alicia_scc",0,"chorrera","tole","lab","postdoc"
"alicia","scs","alicia_scs",0,"chorrera","tole","lab","lab"
"alicia","sd","alicia_sd",0,"chorrera","tole","lab","postdoc"
"alicia","shania","alicia_shania",0,"chorrera","lake.bayano","lab","lab"
"alicia","sheldon","alicia_sheldon",0,"chorrera","zoo","lab","phd"
"alicia","six","alicia_six",0,"chorrera","las.pavas","lab","postdoc"
"alicia","snow","alicia_snow",0,"chorrera","zoo","lab","phd"
"alicia","son-of-ola","alicia_son-of-ola",0,"chorrera","las.pavas","lab","postdoc"
"alicia","sonofzaria","alicia_sonofzaria",0,"chorrera","zoo","lab","phd"
"alicia","speedster","alicia_speedster",0,"chorrera","zoo","lab","phd"
"alicia","spiderman","alicia_spiderman",0,"chorrera","tole","lab","postdoc"
"alicia","ss","alicia_ss",0,"chorrera","tole","lab","postdoc"
"alicia","sss","alicia_sss",0,"chorrera","tole","lab","postdoc"
"alicia","streblick","alicia_streblick",0,"chorrera","zoo","lab","phd"
"alicia","tes","alicia_tes",0,"chorrera","las.pavas","lab","postdoc"
"alicia","thecount","alicia_thecount",0,"chorrera","zoo","lab","phd"
"alicia","tiffany","alicia_tiffany",0,"chorrera","lake.bayano","lab","lab"
"alicia","toast","alicia_toast",0,"chorrera","tole","lab","lab"
"alicia","una","alicia_una",0,"chorrera","las.pavas","lab","postdoc"
"alicia","vampirella","alicia_vampirella",0,"chorrera","zoo","lab","phd"
"alicia","vampison","alicia_vampison",0,"chorrera","zoo","lab","phd"
"alicia","veronica","alicia_veronica",0,"chorrera","zoo","lab","phd"
"alicia","vixen","alicia_vixen",NA,"chorrera","chorrera","lab","lab"
"alicia","vlad","alicia_vlad",0,"chorrera","zoo","lab","phd"
"alicia","war-machine","alicia_war-machine",0,"chorrera","tole","lab","postdoc"
"alicia","whimsey","alicia_whimsey",0,"chorrera","zoo","lab","phd"
"alicia","winona","alicia_winona",NA,"chorrera","chorrera","lab","lab"
"alicia","zaria","alicia_zaria",0,"chorrera","zoo","lab","phd"
"alicia","zarison","alicia_zarison",0,"chorrera","zoo","lab","phd"
"alicia","zelda","alicia_zelda",NA,"chorrera","chorrera","lab","lab"
"bat1","alicia","alicia_bat1",0,"zoo","chorrera","phd","lab"
"bat1","bat2","bat1_bat2",0.0885,"zoo","zoo","phd","phd"
"bat1","bat3","bat1_bat3",0.253,"zoo","zoo","phd","phd"
"bat1","bat4","bat1_bat4",0.2724,"zoo","zoo","phd","phd"
"bat1","bat5","bat1_bat5",0.4463,"zoo","zoo","phd","phd"
"bat1","bat6","bat1_bat6",0.3218,"zoo","zoo","phd","phd"
"bat1","bat7","bat1_bat7",0,"zoo","zoo","phd","phd"
"bat1","bella","bat1_bella",0,"zoo","zoo","phd","phd"
"bat1","betty","bat1_betty",0,"zoo","tole","phd","lab"
"bat1","black-panther","bat1_black-panther",0,"zoo","tole","phd","postdoc"
"bat1","c","bat1_c",0,"zoo","tole","phd","postdoc"
"bat1","captain-america","bat1_captain-america",0,"zoo","tole","phd","postdoc"
"bat1","cat","bat1_cat",0,"zoo","las.pavas","phd","postdoc"
"bat1","cc","bat1_cc",0,"zoo","tole","phd","postdoc"
