"","dir.dyad","actor","receiver","a.sex","r.sex","site1","site2","season1","season2","kinship","grooming","foodsharing","dist"
"1","alicia_bat2","alicia","bat2","F","F","chorrera","zoo","lab","phd",0,NA,NA,1.97962360073878
"2","alicia_bat3","alicia","bat3","F","F","chorrera","zoo","lab","phd",0,NA,NA,2.72546924240516
"3","alicia_bat4","alicia","bat4","F","F","chorrera","zoo","lab","phd",0,NA,NA,1.80212816854068
"4","alicia_bat5","alicia","bat5","F","M","chorrera","zoo","lab","phd",0,NA,NA,1.51382942923257
"5","alicia_bat6","alicia","bat6","F","M","chorrera","zoo","lab","phd",0,NA,NA,2.14403467848834
"6","alicia_bat7","alicia","bat7","F","M","chorrera","zoo","lab","phd",0,NA,NA,1.96324879735631
"7","alicia_bella","alicia","bella","F","F","chorrera","zoo","lab","phd",0,NA,NA,1.53715011593821
"8","alicia_betty","alicia","betty","F","F","chorrera","tole","lab","lab",0,9.08265213442325e-06,NA,1.94974795308293
"9","alicia_black-panther","alicia","black-panther","F","M","chorrera","tole","lab","postdoc",0,NA,NA,2.01612555370538
"10","alicia_c","alicia","c","F","F","chorrera","tole","lab","postdoc",0,NA,NA,2.09467641780357
"11","alicia_cat","alicia","cat","F","F","chorrera","las.pavas","lab","postdoc",0,NA,NA,1.75260719281651
"12","alicia_cc","alicia","cc","F","F","chorrera","tole","lab","postdoc",0,NA,NA,2.39308726532681
"13","alicia_ccc","alicia","ccc","F","F","chorrera","tole","lab","postdoc",0,NA,NA,2.65253764919864
"14","alicia_ccs","alicia","ccs","F","F","chorrera","tole","lab","postdoc",0,NA,NA,2.021273381344
"15","alicia_cerce","alicia","cerce","F","F","chorrera","zoo","lab","phd",0,NA,NA,1.68843599265468
"16","alicia_cerceson","alicia","cerceson","F","M","chorrera","zoo","lab","phd",0,NA,NA,3.56063975398264
"17","alicia_cindy","alicia","cindy","F","F","chorrera","tole","lab","lab",0,0.000115995115995116,NA,1.63593492915383
"18","alicia_cs","alicia","cs","F","F","chorrera","tole","lab","postdoc",0,NA,NA,1.67478642721977
"19","alicia_d","alicia","d","F","F","chorrera","tole","lab","lab",0,NA,NA,1.63272893367515
"20","alicia_dcd","alicia","dcd","F","F","chorrera","tole","lab","postdoc",0,NA,NA,1.83459636541431
"21","alicia_dd","alicia","dd","F","F","chorrera","tole","lab","postdoc",0,NA,NA,2.23832334435189
"22","alicia_ddld","alicia","ddld","F","F","chorrera","tole","lab","postdoc",0,NA,NA,1.91232940527155
"23","alicia_eve","alicia","eve","F","F","chorrera","las.pavas","lab","postdoc",0,NA,NA,2.36538361791481
"24","alicia_falcon","alicia","falcon","F","M","chorrera","tole","lab","postdoc",0,NA,NA,1.94155638843875
"25","alicia_flapper","alicia","flapper","F","M","chorrera","zoo","lab","phd",0,NA,NA,1.60720366758624
"26","alicia_fran","alicia","fran","F","F","chorrera","tole","lab","lab",0,0.000210806697108067,NA,2.0144430076713
"27","alicia_gayle","alicia","gayle","F","F","chorrera","tole","lab","lab",0,0.00888958160155168,NA,2.20975704400378
"28","alicia_gremlin","alicia","gremlin","F","M","chorrera","zoo","lab","phd",0,NA,NA,1.44921634704702
"29","alicia_hera","alicia","hera","F","F","chorrera","tole","lab","lab",0,0.000323439878234399,NA,2.43988378768401
"30","alicia_hilga","alicia","hilga","F","F","chorrera","tole","lab","postdoc",0,NA,NA,1.76121374539534
"31","alicia_hulk","alicia","hulk","F","M","chorrera","tole","lab","postdoc",0,NA,NA,1.55423351995066
"32","alicia_jenna-bat","alicia","jenna-bat","F","M","chorrera","gamboa","lab","postdoc",0,NA,NA,1.95282775869728
"33","alicia_jupiter","alicia","jupiter","F","F","chorrera","lake.bayano","lab","lab",0,0.000215643274853801,NA,1.89407987500615
"34","alicia_kelly","alicia","kelly","F","F","chorrera","lake.bayano","lab","lab",0,0.000159783677482793,NA,1.52390565604844
"35","alicia_ldc","alicia","ldc","F","M","chorrera","tole","lab","postdoc",0,NA,NA,3.99584576038751
"36","alicia_lds","alicia","lds","F","M","chorrera","tole","lab","postdoc",0,NA,NA,1.77543589811013
"37","alicia_lsd","alicia","lsd","F","F","chorrera","tole","lab","postdoc",0,NA,NA,1.85894703513163
"38","alicia_lucyson","alicia","lucyson","F","M","chorrera","zoo","lab","phd",0,NA,NA,3.44537639447098
"39","alicia_mabel","alicia","mabel","F","F","chorrera","tole","lab","lab",0,2.36568986568987e-05,NA,1.91573151942645
"40","alicia_marce","alicia","marce","F","F","chorrera","zoo","lab","phd",0,NA,NA,1.87609215208126
"41","alicia_no-band","alicia","no-band","F","F","chorrera","las.pavas","lab","postdoc",0,NA,NA,1.92199956219116
"42","alicia_ola","alicia","ola","F","F","chorrera","las.pavas","lab","postdoc",0,NA,NA,2.46686000276532
"43","alicia_opal","alicia","opal","F","F","chorrera","chorrera","lab","lab",NA,1.43970189701897e-05,NA,1.80142294924623
"44","alicia_piper","alicia","piper","F","F","chorrera","chorrera","lab","lab",NA,0.000145663956639566,NA,1.34099074362759
"45","alicia_queen","alicia","queen","F","F","chorrera","lake.bayano","lab","lab",0,0,NA,1.72122000368144
"46","alicia_r","alicia","r","F","F","chorrera","tole","lab","postdoc",0,NA,NA,2.55582324809246
"47","alicia_rc","alicia","rc","F","F","chorrera","tole","lab","postdoc",0,NA,NA,1.98970128714244
"48","alicia_rina","alicia","rina","F","F","chorrera","chorrera","lab","lab",NA,0.000294520547945205,NA,2.26201793857938
"49","alicia_s","alicia","s","F","F","chorrera","tole","lab","postdoc",0,NA,NA,2.30664636724773
"50","alicia_sam6","alicia","sam6","F",NA,"chorrera","chilibre","lab","postdoc",0,NA,NA,1.95634719392988
"51","alicia_sc","alicia","sc","F","F","chorrera","tole","lab","postdoc",0,NA,NA,1.92329166154472
"52","alicia_scc","alicia","scc","F","M","chorrera","tole","lab","postdoc",0,NA,NA,2.11923100579836
"53","alicia_scs","alicia","scs","F","F","chorrera","tole","lab","lab",0,NA,NA,2.21431168973351
"54","alicia_sd","alicia","sd","F","F","chorrera","tole","lab","postdoc",0,NA,NA,2.22236734822687
"55","alicia_shania","alicia","shania","F","F","chorrera","lake.bayano","lab","lab",0,0,NA,2.46577535363819
"56","alicia_sheldon","alicia","sheldon","F","M","chorrera","zoo","lab","phd",0,NA,NA,1.853306203924
"57","alicia_six","alicia","six","F","M","chorrera","las.pavas","lab","postdoc",0,NA,NA,2.50478778490683
"58","alicia_snow","alicia","snow","F","F","chorrera","zoo","lab","phd",0,NA,NA,2.26745610392086
"59","alicia_son-of-ola","alicia","son-of-ola","F","M","chorrera","las.pavas","lab","postdoc",0,NA,NA,2.21365775978778
"60","alicia_speedster","alicia","speedster","F","M","chorrera","zoo","lab","phd",0,NA,NA,1.65814832751588
"61","alicia_ss","alicia","ss","F","F","chorrera","tole","lab","postdoc",0,NA,NA,2.03222268255389
"62","alicia_sss","alicia","sss","F","F","chorrera","tole","lab","postdoc",0,NA,NA,1.56739308533577
"63","alicia_streblick","alicia","streblick","F","M","chorrera","zoo","lab","phd",0,NA,NA,3.78113195872243
"64","alicia_tiffany","alicia","tiffany","F","F","chorrera","lake.bayano","lab","lab",0,0.000193576388888889,NA,1.36097902452217
"65","alicia_vampison","alicia","vampison","F","M","chorrera","zoo","lab","phd",0,NA,NA,2.04360110766201
"66","alicia_vixen","alicia","vixen","F","F","chorrera","chorrera","lab","lab",NA,0.018966275659824,NA,1.06035712221052
"67","alicia_zaria","alicia","zaria","F","F","chorrera","zoo","lab","phd",0,NA,NA,1.38940267776583
"68","alicia_zelda","alicia","zelda","F","F","chorrera","chorrera","lab","lab",NA,0.00157320055904962,NA,1.40263218670364
"69","bat2_alicia","bat2","alicia","F","F","zoo","chorrera","phd","lab",0,NA,NA,1.97962360073878
"70","bat2_bat3","bat2","bat3","F","F","zoo","zoo","phd","phd",0.4777,NA,0,3.08226033328207
"71","bat2_bat4","bat2","bat4","F","F","zoo","zoo","phd","phd",0.5,NA,0,2.40246033619826
"72","bat2_bat5","bat2","bat5","F","M","zoo","zoo","phd","phd",0.2241,NA,NA,2.25101860181717
"73","bat2_bat6","bat2","bat6","F","M","zoo","zoo","phd","phd",0.2058,NA,NA,2.67547633619938
"74","bat2_bat7","bat2","bat7","F","M","zoo","zoo","phd","phd",0.1411,NA,NA,2.25781740777035
"75","bat2_bella","bat2","bella","F","F","zoo","zoo","phd","phd",0.0193,NA,0,2.04910939569785
"76","bat2_betty","bat2","betty","F","F","zoo","tole","phd","lab",0,NA,NA,1.80119970081318
"77","bat2_black-panther","bat2","black-panther","F","M","zoo","tole","phd","postdoc",0,NA,NA,2.01164376720428
"78","bat2_c","bat2","c","F","F","zoo","tole","phd","postdoc",0,NA,NA,3.03552997149884
"79","bat2_cat","bat2","cat","F","F","zoo","las.pavas","phd","postdoc",0,NA,NA,2.34627729902115
"80","bat2_cc","bat2","cc","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.30330264635334
"81","bat2_ccc","bat2","ccc","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.50394273049562
"82","bat2_ccs","bat2","ccs","F","F","zoo","tole","phd","postdoc",0,NA,NA,1.68128308118202
"83","bat2_cerce","bat2","cerce","F","F","zoo","zoo","phd","phd",0.1668,NA,0,1.87694450209508
"84","bat2_cerceson","bat2","cerceson","F","M","zoo","zoo","phd","phd",0.0764,NA,NA,3.98345110232216
"85","bat2_cindy","bat2","cindy","F","F","zoo","tole","phd","lab",0,NA,NA,2.03482609903358
"86","bat2_cs","bat2","cs","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.09260184283858
"87","bat2_d","bat2","d","F","F","zoo","tole","phd","lab",0,NA,NA,2.01431351345708
"88","bat2_dcd","bat2","dcd","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.0915768852986
"89","bat2_dd","bat2","dd","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.58334370702886
"90","bat2_ddld","bat2","ddld","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.15816831476447
"91","bat2_eve","bat2","eve","F","F","zoo","las.pavas","phd","postdoc",0,NA,NA,1.65852516209992
"92","bat2_falcon","bat2","falcon","F","M","zoo","tole","phd","postdoc",0,NA,NA,2.52305006615325
"93","bat2_flapper","bat2","flapper","F","M","zoo","zoo","phd","phd",0.0314,NA,NA,2.21397282899521
"94","bat2_fran","bat2","fran","F","F","zoo","tole","phd","lab",0,NA,NA,2.53183473738756
"95","bat2_gayle","bat2","gayle","F","F","zoo","tole","phd","lab",0,NA,NA,2.73319342278452
"96","bat2_gremlin","bat2","gremlin","F","M","zoo","zoo","phd","phd",0.1182,NA,0,1.67750145497983
"97","bat2_hera","bat2","hera","F","F","zoo","tole","phd","lab",0,NA,NA,2.90413355317506
"98","bat2_hilga","bat2","hilga","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.27476257969255
"99","bat2_hulk","bat2","hulk","F","M","zoo","tole","phd","postdoc",0,NA,NA,2.03260414633335
